"table_name"	"index_name"	"type_desc"	"is_unique"	"is_primary_key"	"columns"
"TTEMPSKILLTABLE"	"IX_TTEMPSKILLTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TITEMMAGICLEVELCHART"	"PK__TITEMMAG__A2E8D934367E7A1E"	"CLUSTERED"	"1"	"1"	"dwSection"
"TGUILDMEMBERTABLE"	"PK__TGUILDME__B92C9D033806CFDD"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TRECALLMAINTAINTABLE"	"IX_TRECALLMAINTAINTABLE"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TRECALLMONTABLE"	"PK__TRECALLM__2F752502394FF9D1"	"CLUSTERED"	"1"	"1"	"dwID"
"TRECALLMONTABLE"	"IX_TRECALLMONTABLE_OWNER"	"NONCLUSTERED"	"0"	"0"	"dwOwnerID"
"TRECALLMONTABLE"	"IX_TRECALLMONTABLE_OWNERID_ID"	"NONCLUSTERED"	"0"	"0"	"dwOwnerID,dwID"
"TRECALLMONTABLE"	"IX_TRECALLMONTABLE_OWNERID_UPDATE"	"NONCLUSTERED"	"0"	"0"	"dwOwnerID,bEffect"
"TTNMTEVENTREWARDTABLE"	"PK__TTNMTEVE__30FE57433A0F13E0"	"CLUSTERED"	"1"	"1"	"wID"
"TITEMSETCHART"	"PK__TITEMSET__995A1B113B432F3B"	"CLUSTERED"	"1"	"1"	"wBaseID,wSetID"
"TGUILDPLAYLOG"	"IX_TGUILDPLAYLOG"	"NONCLUSTERED"	"0"	"0"	"dwGuildID"
"TSWITCHCHART"	"PK__TSWITCHC__45C8B3693EFEB186"	"CLUSTERED"	"1"	"1"	"dwSwitchID"
"TGUILDPVPOINTREWARDTABLE"	"IX_TGUILDPVPOINTREWARDTABLE"	"NONCLUSTERED"	"0"	"0"	"dwGuildID"
"TTNMTEVENTSCHEDULETABLE"	"PK__TTNMTEVE__9D19B92A3DDFA4C4"	"CLUSTERED"	"1"	"1"	"wTournamentID,bStep"
"TGUILDPVPRECORDTABLE"	"IX_TGUILDPVPRECORDTABLE"	"NONCLUSTERED"	"0"	"0"	"dwGuildID,dwCharID,dwDate"
"TRESERVEDPOST"	"PK__TRESERVE__E15A5BA13FFCF760"	"CLUSTERED"	"1"	"1"	"dwSeq"
"TRESERVEDPOST"	"IX_TRESERVEDPOST"	"NONCLUSTERED"	"0"	"0"	"bSend"
"TRESERVEDPOST"	"IX_TRESERVEDPOST_1"	"NONCLUSTERED"	"0"	"0"	"dwRecverID,wItemID"
"TTNMTEVENTTABLE"	"PK__TTNMTEVE__4BF8235C41B035A8"	"CLUSTERED"	"1"	"1"	"wTournamentID,bEntryID"
"TTITLECHART"	"PK__TTITLECH__37CDA9CA42CF426A"	"CLUSTERED"	"1"	"1"	"wTitleID"
"TTNMTEVENTTIMETABLE"	"PK__TTNMTEVE__FF5D6FA14580C68C"	"CLUSTERED"	"1"	"1"	"wTournamentID"
"TTOURNAMENTREWARDCHART"	"PK__TTOURNAM__30FE574345E0B93F"	"CLUSTERED"	"1"	"1"	"wID"
"TMAPMONCHART"	"PK__TMAPMONC__52A4AA58469FD34E"	"CLUSTERED"	"1"	"1"	"wSpawnID,wMonID,bEssential"
"TMAPMONCHART"	"IX_TMAPMONCHART"	"NONCLUSTERED"	"0"	"0"	"wSpawnID"
"TTOURNAMENTCHART"	"PK__TTOURNAM__4A54CFDA49515770"	"CLUSTERED"	"1"	"1"	"bEntryID"
"TRPSGAMERECORDTABLE"	"IX_TRPSGAMERECORDTABLE"	"NONCLUSTERED"	"0"	"0"	"bType,bWinCount,dWinDate"
"ACCESSORYMAGICTABLE"	"PK__ACCESSOR__3214EC27467F8076"	"CLUSTERED"	"1"	"1"	"ID"
"TTOURNAMENTPLAYERTABLE"	"PK__TTOURNAM__B92C9D034F0A30C6"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TINDUNCHART"	"PK__TINDUNCH__4713A8584F6A2379"	"CLUSTERED"	"1"	"1"	"wMapID"
"TGUILDTABLE"	"PK__TGUILDTA__2F75250268341ABF"	"CLUSTERED"	"1"	"1"	"dwID"
"TGUILDTABLE"	"IX_TGUILDTABLE_NAME"	"NONCLUSTERED"	"0"	"0"	"szName"
"TGUILDTACTICSTABLE"	"PK__TGUILDTA__F19F4C1052BAC619"	"CLUSTERED"	"1"	"1"	"dwCharID,dwGuildID"
"TGUILDTACTICSTABLE"	"IX_TGUILDTACTICSTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TGUILDTACTICSTABLE"	"IX_TGUILDTACTICSTABLE_GUILDID"	"NONCLUSTERED"	"0"	"0"	"dwGuildID"
"TMONITEMCHART"	"PK__TMONITEM__C7D247B055E216DE"	"CLUSTERED"	"1"	"1"	"wMonID,wItemID,bChartType"
"TMONITEMCHART"	"IX_TMONITEMCHART_MON"	"NONCLUSTERED"	"0"	"0"	"wMonID"
"TOPERATORTABLE"	"PK__TOPERATO__9977503C5344D5FE"	"CLUSTERED"	"1"	"1"	"dwOperatorID"
"TSKILLCHART"	"PK__TSKILLCH__30FE574364EF5044"	"CLUSTERED"	"1"	"1"	"wID"
"TSKILLCHART"	"IX_TSKILLCHART_CLASSID_CANLEARN_LEVEL"	"NONCLUSTERED"	"0"	"0"	"dwClassID,bCanLearn,bLevel"
"TTOURNAMENTREWARDCHART_weap"	"PK__TTOURNAM__30FE574356AB528E"	"CLUSTERED"	"1"	"1"	"wID"
"TGUILDTACTICSWANTEDTABLE"	"PK__TGUILDTA__2F752502577F7B36"	"CLUSTERED"	"1"	"1"	"dwID"
"TGUILDTACTICSWANTEDTABLE"	"IX_TGUILDTACTICSWANTEDTABLE"	"NONCLUSTERED"	"0"	"0"	"dwGuildID"
"TITEMUSEDTABLE"	"PK__TITEMUSE__A4A3CF42583E9545"	"CLUSTERED"	"1"	"1"	"dwCharID,wDelayGroupID"
"TITEMUSEDTABLE"	"IX_TITEMUSEDTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TMONSPAWNCHART"	"PK__TMONSPAW__30FE57435E775CDF"	"CLUSTERED"	"1"	"1"	"wID"
"TMONSPAWNCHART"	"IX_TMONSPAWNCHART_PARTY"	"NONCLUSTERED"	"0"	"0"	"wPartyID"
"TTOURNAMENTSCHEDULECHART"	"PK__TTOURNAM__1137A6565A7BE372"	"CLUSTERED"	"1"	"1"	"bStep,bGroup"
"TPETTABLE"	"PK__TPETTABL__A41333D05AE5F7C6"	"CLUSTERED"	"1"	"1"	"dwUserID,wPetID"
"TPETTABLE"	"IX_TPETTABLE_USER"	"NONCLUSTERED"	"0"	"0"	"dwUserID"
"TGUILDVOLUNTEERTABLE"	"PK__TGUILDVO__811FDD5E5B500C1A"	"CLUSTERED"	"1"	"1"	"dwCharID,bType"
"TLEVELCHART"	"PK__TLEVELCH__A29A5ECA5C0F2629"	"CLUSTERED"	"1"	"1"	"bLevel"
"TCMGIFTCHART"	"PK__TCMGIFTC__D3C98F815E6182EF"	"CLUSTERED"	"1"	"1"	"wGiftID"
"TGUILDWANTEDTABLE"	"PK__TGUILDWA__8B3D11355F209CFE"	"CLUSTERED"	"1"	"1"	"dwGuildID"
"TMONSTERSHOPCHART"	"PK__TMONSTER__30FE57436CBA8F3E"	"CLUSTERED"	"1"	"1"	"wID"
"TCMGIFTTABLE"	"IX_TGIFTTABLE_USERGIFTID"	"NONCLUSTERED"	"0"	"0"	"dwUserID,wGiftID"
"TCMGIFTTABLE"	"IX_TGIFTTABLE_CHARGIFTID"	"NONCLUSTERED"	"0"	"0"	"dwCharID,wGiftID"
"TPOSTITEMTABLE"	"IX_TPOSTITEMTABLE"	"NONCLUSTERED"	"0"	"0"	"dwPostID"
"TPOSTITEMTABLE"	"IX_TPOSTITEMTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TSKILLMAINTAINTABLE"	"PK__TSKILLMA__80F81617652E7C0F"	"CLUSTERED"	"1"	"1"	"dwCharID,wSkillID"
"TSKILLMAINTAINTABLE"	"IX_TSKILLMAINTAINTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"dtproperties"	"PK__dtproper__92EB783E65438AA8"	"CLUSTERED"	"1"	"1"	"id,property"
"TPOSTTABLE"	"PK__TPOSTTAB__8F66CCFF65638639"	"CLUSTERED"	"1"	"1"	"dwPostID"
"TPOSTTABLE"	"IX_TPOSTTABLE_"	"NONCLUSTERED"	"0"	"0"	"dwCharID,dwPostID"
"TPOSTTABLE"	"IX_TPOSTTABLE_SENDID_"	"NONCLUSTERED"	"0"	"0"	"dwSendID,bType"
"TPOSTTABLE"	"IX_TPOSTTABLE_CHARID_READ_TYPE_TIMERECV_"	"NONCLUSTERED"	"0"	"0"	"dwCharID,bRead,bType,timeRecv"
"TNPCCHART"	"PK__TNPCCHAR__30FE5743662D8D40"	"CLUSTERED"	"1"	"1"	"wID"
"TNPCCHART"	"IX_TNPCCHART_NAME"	"NONCLUSTERED"	"0"	"0"	"szName"
"TLASTMONTHPOINTTABLE"	"PK_TLASTMONTHPOINTTABLE"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TLASTTOTALPOINTTABLE"	"PK_TLASTTOTALPOINTTABLE"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TCHARTABLE"	"PK__TCHARTAB__B92C9D0367D5DE90"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TCHARTABLE"	"IX_TCHARTABLE_PW_USER"	"NONCLUSTERED"	"0"	"0"	"dwUserID"
"TCHARTABLE"	"IX_TCHARTABLE_PW_NAME"	"NONCLUSTERED"	"0"	"0"	"szNAME"
"TCHARTABLE"	"IX_TCHARTABLE_PW_RANKPOINT"	"NONCLUSTERED"	"0"	"0"	"dwRankPoint"
"TCHARTABLE"	"IX_TCHARTABLE_PW_USERID_DELETE"	"NONCLUSTERED"	"0"	"0"	"dwUserID,bDelete"
"TCHARTABLE"	"IX_TCHARTABLE_PW_CHARID_DELETE"	"NONCLUSTERED"	"0"	"0"	"dwCharID,bDelete"
"TCHARTABLE"	"IX_TCHARTABLE_PW_USERID_SLOT_DELETE"	"NONCLUSTERED"	"0"	"0"	"dwUserID,bSlot,bDelete"
"TCHARTABLE"	"IX_TCHARTABLE_PW_USERID_COUNTRY_DELETE"	"NONCLUSTERED"	"0"	"0"	"dwUserID,bCountry,bDelete"
"THOTKEYTABLE"	"IX_THOTKEYTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TSKILLDATA"	"PK__TSKILLDA__2D89BDBB69B40561"	"CLUSTERED"	"1"	"1"	"wSkillID,bAction,bType,bAttr,bExec"
"TPROTECTEDTABLE"	"PK__TPROTECT__FDF5123F6934171D"	"CLUSTERED"	"1"	"1"	"dwCharID,dwProtected"
"TPROTECTEDTABLE"	"IX_TPROTECTEDTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TLOCALOCCUPYTABLE"	"PK__TLOCALOC__DEA88FA869692147"	"CLUSTERED"	"1"	"1"	"wLocalID,bDay"
"TFORMULACHART"	"PK__TFORMULA__DE99891F69E90F8B"	"CLUSTERED"	"1"	"1"	"bID"
"TINVENTABLE"	"PK__TINVENTA__688A92BB6A924FAA"	"CLUSTERED"	"1"	"1"	"dwCharID,bInvenID"
"TINVENTABLE"	"IX_TINVENTABLE"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TACTIVECHARTABLE"	"PK__TACTIVEC__B92C9D036CE4AC70"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TACTIVECHARTABLE"	"IX_TACTIVECHARTABLE"	"NONCLUSTERED"	"0"	"0"	"dateEnter"
"TLOCALTABLE"	"PK__TLOCALTA__2ECCE3826D39B22B"	"CLUSTERED"	"1"	"1"	"wLocalID"
"TQCLASSCHART"	"PK__TQCLASSC__B35837B17B08AE95"	"CLUSTERED"	"1"	"1"	"dwClassID"
"TPVPOINTTABLE"	"PK__TPVPOINT__B92C9D036EECF073"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TPVPOINTTABLE"	"IX_TPVPOINTTABLE"	"NONCLUSTERED"	"0"	"0"	"dwTotalPoint"
"TDUELCHARTABLE"	"IX_TDUELCHARTABLE"	"NONCLUSTERED"	"0"	"0"	"dwCharID,dTime"
"TDUELSCORETABLE"	"PK__TDUELSCO__B92C9D037080332A"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TPVPRECENTTABLE"	"IX_TPVPRECENTTABLE"	"NONCLUSTERED"	"0"	"0"	"dwCharID,dlDate"
"TQTITLECHART"	"PK__TQTITLEC__529A79CE039DF496"	"CLUSTERED"	"1"	"1"	"dwQuestID"
"TPVPRECORDTABLE"	"PK__TPVPRECO__B92C9D0373B1A590"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TERASECHARLOG"	"IX_TERASECHARLOG"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TSKILLTABLE"	"IX_TSKILLTABLE_CHAR"	"NONCLUSTERED"	"0"	"0"	"dwCharID"
"TPETCHART"	"PK__TPETCHAR__30FE5743F9A8A457"	"CLUSTERED"	"1"	"1"	"wID"
"TMENTORTABLE"	"PK__TMENTORT__B92C9D03799F8910"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TSOULMATETABLE"	"PK__TSOULMAT__B92C9D037A2998F5"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TSOULMATETABLE"	"IX_TSOULMATETABLE"	"NONCLUSTERED"	"0"	"0"	"dwTarget"
"TRPSGAMECHART"	"PK__TRPSGAME__59AC6B660F0FA742"	"CLUSTERED"	"1"	"1"	"bType,bWinCount"
"TMONATTRCHART"	"PK__TMONATTR__8AD7F2AF2089CCEA"	"CLUSTERED"	"1"	"1"	"wID,bLevel"
"TPORTALCHART"	"PK__TPORTALC__827BB9F07B28AA26"	"CLUSTERED"	"1"	"1"	"wPortalID"
"TEVENTITEMTABLE"	"PK__TEVENTIT__B92C9D037BF1E5D6"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TAIDTABLE"	"PK__TAIDTABL__B92C9D037C26F000"	"CLUSTERED"	"1"	"1"	"dwCharID"
"TEVENTQUARTERCHART"	"PK__TEVENTQU__30FE57437FC276BA"	"CLUSTERED"	"1"	"1"	"wID"
"TMONSTERCHART"	"PK__TMONSTER__30FE574344E3BAB5"	"CLUSTERED"	"1"	"1"	"wID"
"TMONSTERCHART"	"IX_TMONSTERCHART_NAME_copy1"	"NONCLUSTERED"	"0"	"0"	"szName"
